source_predictor,variable_type,overall_missingness,outer1_training_missingness,indicator_generated_outer1,survived_step2_outer1,outer2_training_missingness,indicator_generated_outer2,survived_step2_outer2,outer3_training_missingness,indicator_generated_outer3,survived_step2_outer3,outer4_training_missingness,indicator_generated_outer4,survived_step2_outer4,outer5_training_missingness,indicator_generated_outer5,survived_step2_outer5,indicator_generated_any_fold,indicator_generated_all_folds,transformed_indicator_feature
x_lab_phosphate_max,numeric,0.6746166076832333,0.659017584342884,True,False,0.6782692307692307,True,False,0.6637151106833494,True,False,0.6951691130910411,True,False,0.6769010533512809,True,False,True,True,missingindicator_x_lab_phosphate_max
x_lab_phosphate_mean,numeric,0.6746166076832333,0.659017584342884,True,False,0.6782692307692307,True,False,0.6637151106833494,True,False,0.6951691130910411,True,False,0.6769010533512809,True,False,True,True,missingindicator_x_lab_phosphate_mean
x_lab_phosphate_n,numeric,0.6746166076832333,0.659017584342884,True,False,0.6782692307692307,True,False,0.6637151106833494,True,False,0.6951691130910411,True,False,0.6769010533512809,True,False,True,True,missingindicator_x_lab_phosphate_n
x_lab_hgb_first,numeric,0.27289668496007935,0.26622225071042455,True,True,0.27337606837606837,True,True,0.2702598652550529,True,True,0.27658483430549324,True,True,0.2780377326239771,True,True,True,True,missingindicator_x_lab_hgb_first
x_lab_hgb_last,numeric,0.27289668496007935,0.26622225071042455,True,True,0.27337606837606837,True,True,0.2702598652550529,True,True,0.27658483430549324,True,True,0.2780377326239771,True,True,True,True,missingindicator_x_lab_hgb_last
x_lab_hgb_min,numeric,0.27289668496007935,0.26622225071042455,True,True,0.27337606837606837,True,True,0.2702598652550529,True,True,0.27658483430549324,True,True,0.2780377326239771,True,True,True,True,missingindicator_x_lab_hgb_min
x_lab_hgb_max,numeric,0.27289668496007935,0.26622225071042455,True,True,0.27337606837606837,True,True,0.2702598652550529,True,True,0.27658483430549324,True,True,0.2780377326239771,True,True,True,True,missingindicator_x_lab_hgb_max
x_lab_hgb_mean,numeric,0.27289668496007935,0.26622225071042455,True,True,0.27337606837606837,True,True,0.2702598652550529,True,True,0.27658483430549324,True,True,0.2780377326239771,True,True,True,True,missingindicator_x_lab_hgb_mean
x_lab_hgb_n,numeric,0.27289668496007935,0.26622225071042455,True,True,0.27337606837606837,True,True,0.2702598652550529,True,True,0.27658483430549324,True,True,0.2780377326239771,True,True,True,True,missingindicator_x_lab_hgb_n
x_lab_hct_first,numeric,0.2735292609119352,0.268123838215499,True,True,0.27363247863247864,True,True,0.27250561437279436,True,True,0.27513193598700936,True,True,0.2782513941414012,True,True,True,True,missingindicator_x_lab_hct_first
x_lab_hct_last,numeric,0.2735292609119352,0.268123838215499,True,True,0.27363247863247864,True,True,0.27250561437279436,True,True,0.27513193598700936,True,True,0.2782513941414012,True,True,True,True,missingindicator_x_lab_hct_last
x_lab_hct_min,numeric,0.2735292609119352,0.268123838215499,True,True,0.27363247863247864,True,True,0.27250561437279436,True,True,0.27513193598700936,True,True,0.2782513941414012,True,True,True,True,missingindicator_x_lab_hct_min
x_lab_hct_max,numeric,0.2735292609119352,0.268123838215499,True,True,0.27363247863247864,True,True,0.27250561437279436,True,True,0.27513193598700936,True,True,0.2782513941414012,True,True,True,True,missingindicator_x_lab_hct_max
x_lab_hct_mean,numeric,0.2735292609119352,0.268123838215499,True,True,0.27363247863247864,True,True,0.27250561437279436,True,True,0.27513193598700936,True,True,0.2782513941414012,True,True,True,True,missingindicator_x_lab_hct_mean
x_lab_hct_n,numeric,0.2735292609119352,0.268123838215499,True,True,0.27363247863247864,True,True,0.27250561437279436,True,True,0.27513193598700936,True,True,0.2782513941414012,True,True,True,True,missingindicator_x_lab_hct_n
x_lab_platelets_first,numeric,0.3082696483219641,0.30111317650577957,True,True,0.3096794871794872,True,True,0.3045235803657363,True,True,0.3106638463346367,True,True,0.3153643997179668,True,True,True,True,missingindicator_x_lab_platelets_first
x_lab_platelets_last,numeric,0.3082696483219641,0.30111317650577957,True,True,0.3096794871794872,True,True,0.3045235803657363,True,True,0.3106638463346367,True,True,0.3153643997179668,True,True,True,True,missingindicator_x_lab_platelets_last
x_lab_platelets_min,numeric,0.3082696483219641,0.30111317650577957,True,True,0.3096794871794872,True,True,0.3045235803657363,True,True,0.3106638463346367,True,True,0.3153643997179668,True,True,True,True,missingindicator_x_lab_platelets_min
x_lab_platelets_max,numeric,0.3082696483219641,0.30111317650577957,True,True,0.3096794871794872,True,True,0.3045235803657363,True,True,0.3106638463346367,True,True,0.3153643997179668,True,True,True,True,missingindicator_x_lab_platelets_max
x_lab_platelets_mean,numeric,0.3082696483219641,0.30111317650577957,True,True,0.3096794871794872,True,True,0.3045235803657363,True,True,0.3106638463346367,True,True,0.3153643997179668,True,True,True,True,missingindicator_x_lab_platelets_mean
x_lab_platelets_n,numeric,0.3082696483219641,0.30111317650577957,True,True,0.3096794871794872,True,True,0.3045235803657363,True,True,0.3106638463346367,True,True,0.3153643997179668,True,True,True,True,missingindicator_x_lab_platelets_n
x_lab_wbc_first,numeric,0.30965447675710794,0.30134820417494607,True,True,0.30927350427350425,True,True,0.3085445406908352,True,True,0.3122876738670598,True,True,0.31681729803645065,True,True,True,True,missingindicator_x_lab_wbc_first
x_lab_wbc_last,numeric,0.30965447675710794,0.30134820417494607,True,True,0.30927350427350425,True,True,0.3085445406908352,True,True,0.3122876738670598,True,True,0.31681729803645065,True,True,True,True,missingindicator_x_lab_wbc_last
x_lab_wbc_min,numeric,0.30965447675710794,0.30134820417494607,True,True,0.30927350427350425,True,True,0.3085445406908352,True,True,0.3122876738670598,True,True,0.31681729803645065,True,True,True,True,missingindicator_x_lab_wbc_min
x_lab_wbc_max,numeric,0.30965447675710794,0.30134820417494607,True,True,0.30927350427350425,True,True,0.3085445406908352,True,True,0.3122876738670598,True,True,0.31681729803645065,True,True,True,True,missingindicator_x_lab_wbc_max
x_lab_wbc_mean,numeric,0.30965447675710794,0.30134820417494607,True,True,0.30927350427350425,True,True,0.3085445406908352,True,True,0.3122876738670598,True,True,0.31681729803645065,True,True,True,True,missingindicator_x_lab_wbc_mean
x_lab_wbc_n,numeric,0.30965447675710794,0.30134820417494607,True,True,0.30927350427350425,True,True,0.3085445406908352,True,True,0.3122876738670598,True,True,0.31681729803645065,True,True,True,True,missingindicator_x_lab_wbc_n
x_lab_albumin_first,numeric,0.6220615137371561,0.610772813708523,True,False,0.6174145299145299,True,False,0.6287455887070902,True,False,0.6315407132021451,True,False,0.6218404803110912,True,False,True,True,missingindicator_x_lab_albumin_first
x_lab_albumin_last,numeric,0.6220615137371561,0.610772813708523,True,False,0.6174145299145299,True,False,0.6287455887070902,True,False,0.6315407132021451,True,False,0.6218404803110912,True,False,True,True,missingindicator_x_lab_albumin_last
x_lab_albumin_min,numeric,0.6220615137371561,0.610772813708523,True,False,0.6174145299145299,True,False,0.6287455887070902,True,False,0.6315407132021451,True,False,0.6218404803110912,True,False,True,True,missingindicator_x_lab_albumin_min
x_lab_albumin_max,numeric,0.6220615137371561,0.610772813708523,True,False,0.6174145299145299,True,False,0.6287455887070902,True,False,0.6315407132021451,True,False,0.6218404803110912,True,False,True,True,missingindicator_x_lab_albumin_max
x_lab_albumin_mean,numeric,0.6220615137371561,0.610772813708523,True,False,0.6174145299145299,True,False,0.6287455887070902,True,False,0.6315407132021451,True,False,0.6218404803110912,True,False,True,True,missingindicator_x_lab_albumin_mean
x_lab_albumin_n,numeric,0.6220615137371561,0.610772813708523,True,False,0.6174145299145299,True,False,0.6287455887070902,True,False,0.6315407132021451,True,False,0.6218404803110912,True,False,True,True,missingindicator_x_lab_albumin_n
x_lab_bilirubin_total_first,numeric,0.6516729069429484,0.6444245027028181,True,False,0.6506837606837607,True,False,0.6600363597476205,True,False,0.6502147298250112,True,False,0.6530136957032668,True,False,True,True,missingindicator_x_lab_bilirubin_total_first
x_lab_bilirubin_total_last,numeric,0.6516729069429484,0.6444245027028181,True,False,0.6506837606837607,True,False,0.6600363597476205,True,False,0.6502147298250112,True,False,0.6530136957032668,True,False,True,True,missingindicator_x_lab_bilirubin_total_last
x_lab_bilirubin_total_min,numeric,0.6516729069429484,0.6444245027028181,True,False,0.6506837606837607,True,False,0.6600363597476205,True,False,0.6502147298250112,True,False,0.6530136957032668,True,False,True,True,missingindicator_x_lab_bilirubin_total_min
x_lab_bilirubin_total_max,numeric,0.6516729069429484,0.6444245027028181,True,False,0.6506837606837607,True,False,0.6600363597476205,True,False,0.6502147298250112,True,False,0.6530136957032668,True,False,True,True,missingindicator_x_lab_bilirubin_total_max
x_lab_bilirubin_total_mean,numeric,0.6516729069429484,0.6444245027028181,True,False,0.6506837606837607,True,False,0.6600363597476205,True,False,0.6502147298250112,True,False,0.6530136957032668,True,False,True,True,missingindicator_x_lab_bilirubin_total_mean
x_lab_bilirubin_total_n,numeric,0.6516729069429484,0.6444245027028181,True,False,0.6506837606837607,True,False,0.6600363597476205,True,False,0.6502147298250112,True,False,0.6530136957032668,True,False,True,True,missingindicator_x_lab_bilirubin_total_n
x_lab_inr_first,numeric,0.6473132618693475,0.6440185458197124,True,False,0.6430128205128205,True,False,0.6495989733718319,True,False,0.6510266435912228,True,False,0.6489113945687243,True,False,True,True,missingindicator_x_lab_inr_first
x_lab_inr_last,numeric,0.6473132618693475,0.6440185458197124,True,False,0.6430128205128205,True,False,0.6495989733718319,True,False,0.6510266435912228,True,False,0.6489113945687243,True,False,True,True,missingindicator_x_lab_inr_last
x_lab_inr_min,numeric,0.6473132618693475,0.6440185458197124,True,False,0.6430128205128205,True,False,0.6495989733718319,True,False,0.6510266435912228,True,False,0.6489113945687243,True,False,True,True,missingindicator_x_lab_inr_min
x_lab_inr_max,numeric,0.6473132618693475,0.6440185458197124,True,False,0.6430128205128205,True,False,0.6495989733718319,True,False,0.6510266435912228,True,False,0.6489113945687243,True,False,True,True,missingindicator_x_lab_inr_max
x_lab_inr_mean,numeric,0.6473132618693475,0.6440185458197124,True,False,0.6430128205128205,True,False,0.6495989733718319,True,False,0.6510266435912228,True,False,0.6489113945687243,True,False,True,True,missingindicator_x_lab_inr_mean
x_lab_inr_n,numeric,0.6473132618693475,0.6440185458197124,True,False,0.6430128205128205,True,False,0.6495989733718319,True,False,0.6510266435912228,True,False,0.6489113945687243,True,False,True,True,missingindicator_x_lab_inr_n
x_lab_anion_gap_first,numeric,0.3679198509172351,0.3424994124308271,True,True,0.39455128205128204,True,True,0.36051759170142234,True,True,0.37179240646967077,True,True,0.37023267739247484,True,True,True,True,missingindicator_x_lab_anion_gap_first
x_lab_anion_gap_last,numeric,0.3679198509172351,0.3424994124308271,True,True,0.39455128205128204,True,True,0.36051759170142234,True,True,0.37179240646967077,True,True,0.37023267739247484,True,True,True,True,missingindicator_x_lab_anion_gap_last
x_lab_anion_gap_min,numeric,0.3679198509172351,0.3424994124308271,True,True,0.39455128205128204,True,True,0.36051759170142234,True,True,0.37179240646967077,True,True,0.37023267739247484,True,True,True,True,missingindicator_x_lab_anion_gap_min
x_lab_anion_gap_max,numeric,0.3679198509172351,0.3424994124308271,True,True,0.39455128205128204,True,True,0.36051759170142234,True,True,0.37179240646967077,True,True,0.37023267739247484,True,True,True,True,missingindicator_x_lab_anion_gap_max
x_lab_anion_gap_mean,numeric,0.3679198509172351,0.3424994124308271,True,True,0.39455128205128204,True,True,0.36051759170142234,True,True,0.37179240646967077,True,True,0.37023267739247484,True,True,True,True,missingindicator_x_lab_anion_gap_mean
x_lab_anion_gap_n,numeric,0.3679198509172351,0.3424994124308271,True,True,0.39455128205128204,True,True,0.36051759170142234,True,True,0.37179240646967077,True,True,0.37023267739247484,True,True,True,True,missingindicator_x_lab_anion_gap_n
x_vital_heart_rate_first,numeric,0.015352789318014738,0.016302373779458583,True,True,0.008034188034188034,True,True,0.01715324564217731,True,True,0.01771253979445762,True,True,0.017562976732260753,True,True,True,True,missingindicator_x_vital_heart_rate_first
x_vital_heart_rate_last,numeric,0.015352789318014738,0.016302373779458583,True,True,0.008034188034188034,True,True,0.01715324564217731,True,True,0.01771253979445762,True,True,0.017562976732260753,True,True,True,True,missingindicator_x_vital_heart_rate_last
x_vital_heart_rate_min,numeric,0.015352789318014738,0.016302373779458583,True,True,0.008034188034188034,True,True,0.01715324564217731,True,True,0.01771253979445762,True,True,0.017562976732260753,True,True,True,True,missingindicator_x_vital_heart_rate_min
