outer_fold,selected_candidate,source_predictor,transformed_column_count,mean_absolute_grouped_shap,mean_signed_grouped_shap,fold_rank
1,XGB04,x_vital_noninvasive_mean_bp_mean,2,0.013714357595331891,-0.002490202933261308,51
1,XGB04,x_vital_noninvasive_mean_bp_sd,2,0.013777501106703725,-0.0016396681879010258,50
1,XGB04,x_vital_noninvasive_mean_bp_n,2,0.028270182828582506,-0.008476972558017375,26
2,XGB04,x_age_years,1,0.0208653598271741,-0.005038926763386308,32
2,XGB04,x_sex,3,0.013111501262956463,-0.0007581241285195017,54
2,XGB04,x_bmi,2,0.0651263204355482,-0.009672926064955557,9
2,XGB04,x_unit_type,8,0.033275702483112464,-0.0023516660633645567,21
2,XGB04,x_unit_admit_source,16,0.08472332390026482,-0.0016252968685678826,6
2,XGB04,x_reference_creatinine,1,0.4886964745508889,-0.27024986851284016,1
2,XGB04,x_stage1_at_landmark,1,0.28812077137134245,-0.1386539131561018,3
2,XGB04,x_lab_creatinine_first,2,0.04097380133669557,0.006901889557506842,15
2,XGB04,x_lab_creatinine_last,2,0.34807828229102766,-0.2338542776129538,2
2,XGB04,x_lab_creatinine_min,2,0.013919720061491567,-0.007212797338115508,50
2,XGB04,x_lab_creatinine_max,2,0.024909247739456363,-0.012972075176419908,27
2,XGB04,x_lab_creatinine_mean,2,0.012546265665964132,-0.010582472731998646,56
2,XGB04,x_lab_creatinine_n,2,0.002887509490410141,-1.1283826315476782e-05,124
2,XGB04,x_lab_bun_first,2,0.06340691796436249,0.02996935529074575,10
2,XGB04,x_lab_bun_last,2,0.03735871043384714,0.026905477907384172,16
2,XGB04,x_lab_bun_min,2,0.06780842627315967,0.046290707738696035,8
2,XGB04,x_lab_bun_max,2,0.01008623960501323,0.005901512945092799,65
2,XGB04,x_lab_bun_mean,2,0.013319887655969385,0.007837439854934092,52
2,XGB04,x_lab_bun_n,2,0.0006969337583608171,0.00016382374772319944,152
2,XGB04,x_lab_bicarbonate_first,2,0.0025151887998525707,-0.00010868330084146874,129
2,XGB04,x_lab_bicarbonate_last,2,0.011992638499985366,-0.00438418088888956,59
2,XGB04,x_lab_bicarbonate_min,2,0.0051155164156093495,-0.0009709491314331314,98
2,XGB04,x_lab_bicarbonate_max,2,0.004039774956762714,-0.0011923639623160113,106
2,XGB04,x_lab_bicarbonate_mean,2,0.004918251624011884,-0.0013138972448625455,99
2,XGB04,x_lab_bicarbonate_n,2,0.0022193189281147557,0.0006565218208716447,133
2,XGB04,x_lab_potassium_first,2,0.002315157172059091,-2.514369515041137e-05,131
2,XGB04,x_lab_potassium_last,2,0.008223820652409916,-0.0035663171448408184,72
2,XGB04,x_lab_potassium_min,2,0.0053777881000967595,-0.0003501685854798665,93
2,XGB04,x_lab_potassium_max,2,0.00080728505565,4.995741319707053e-05,149
